

[2017-05-20 23:04:20] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2017-05-21 00:09:21] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-05-24 17:19:06] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-05-24 17:29:56] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-05-24 17:58:28] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-05-24 18:10:59] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-05-24 18:33:45] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-05-24 22:50:34] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-05-24 23:34:45] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2017-05-24 23:37:26] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-05-25 00:07:46] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2017-05-25 00:07:46] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-05-25 00:27:23] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2017-05-25 00:27:23] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-05-25 00:47:20] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2017-05-25 00:47:33] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-05-25 01:02:32] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2017-05-25 01:02:32] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-05-25 01:14:09] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2017-05-25 01:20:23] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-05-25 01:43:35] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2017-05-25 01:47:37] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2017-05-25 01:58:02] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-05-25 02:20:05] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-05-25 02:24:58] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-05-25 02:32:39] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-05-25 03:03:41] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-05-25 03:13:11] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-05-25 04:21:51] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-05-25 14:17:05] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-05-25 14:25:14] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-05-25 14:36:27] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-05-25 14:55:22] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-05-25 15:01:44] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-05-25 15:09:47] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-05-25 15:13:44] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-05-25 15:17:21] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-05-25 15:51:07] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-05-25 16:40:06] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-05-25 19:01:44] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-05-25 19:13:39] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2017-05-25 21:32:59] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2017-05-25 21:33:48] [AppID 107410] CAPIJobStoreUserStats::BInit() - no stats found, aborting


